cat_name	2019-10	2019-11	2019-12	2020-1	2020-2	2020-3	2020-4
building_garden_supplies	0.1	0.4	1.5	3.4	-1.8	-0.5	-3.5
car_dealers	0.9	1.5	-1.6	0.8	-0.4	-25.7	-12.4
clothing_stores	-0.4	-0.6	2.8	-0.6	-1.6	-49.4	-78.8
electronics_appliances	-0.6	-0.4	0.5	0.8	-1.3	-11	-60.6
food_bev_stores	0	0.4	0.3	-0.2	-0.1	26.9	-13.1
food_drink_service	-0.2	-1	1.1	0.9	-0.3	-29.7	-29.5
furniture	-0.8	0.2	-1.9	4	-0.1	-21.1	-58.7
gas_stations	1.6	0.6	1.2	-0.6	-2.9	-16.5	-28.8
general_merchandise	0.4	-0.2	0.1	0.5	-0.1	7.1	-20.8
grocery_stores	0	0.4	0.3	-0.2	-0.3	28.6	-13.2
health_personalcare_stores	1	-1.4	-0.2	0.8	0	5	-15.2
sporting_hobby_book_stores	0.2	-3.5	1.9	0.7	0.2	-17.8	-38
